iter	Logloss
0	0.6871923485
1	0.6815337483
2	0.6760406162
3	0.6708372333
4	0.665766565
5	0.660991132
6	0.6564276669
7	0.6520494911
8	0.6477584916
9	0.6437100743
10	0.6398155356
11	0.636058227
12	0.6324945714
13	0.6290833835
14	0.625844253
15	0.6227262792
16	0.6197083172
17	0.6168218452
18	0.6140591564
19	0.6115069699
20	0.6089497856
21	0.6065506994
22	0.6042290852
23	0.6020318442
24	0.5998718313
25	0.5978040258
26	0.5958192369
27	0.59393478
28	0.5922525879
29	0.5906664641
30	0.5889520833
31	0.5873818936
32	0.5858562144
33	0.5843874921
34	0.5828933671
35	0.5814913296
36	0.5802689978
37	0.5790723043
38	0.5778516477
39	0.5768048542
40	0.5756526703
41	0.5746523219
42	0.5735764584
43	0.5726056492
44	0.5715917258
45	0.5705863811
46	0.5698248516
47	0.5689231466
48	0.5680412038
49	0.5672007014
50	0.5663854118
51	0.5655670462
52	0.5648681784
53	0.564148578
54	0.5634820791
55	0.5627575692
56	0.5620711189
57	0.5614777942
58	0.5608878871
59	0.5603469653
60	0.5597797441
61	0.5591998805
62	0.5586951625
63	0.5581769452
64	0.5577013591
65	0.5572498807
66	0.5568341866
67	0.5564020799
68	0.5559278667
69	0.5555250062
70	0.5551077374
71	0.5547728958
72	0.554371348
73	0.5539906777
74	0.5536361966
75	0.5533116987
76	0.5529465505
77	0.5526157197
78	0.5523050597
79	0.5519801138
80	0.551669063
81	0.5513698412
82	0.5510627501
83	0.5508518299
84	0.5505572957
85	0.5502817324
86	0.550037782
87	0.5497841027
88	0.5495422695
89	0.5492899348
90	0.5490532769
91	0.5488404514
92	0.5485926487
93	0.5483881635
94	0.5481548077
95	0.5479475895
96	0.547765142
97	0.5475522894
98	0.5473862648
99	0.5472093538
100	0.5470141302
101	0.5468226081
102	0.5466437958
103	0.5465005456
104	0.5463311139
105	0.5461923093
106	0.5460180259
107	0.5458930559
108	0.5457556686
109	0.5455943845
110	0.5454658858
111	0.5453413665
112	0.5451912536
113	0.5450721948
114	0.5449502401
115	0.5448171193
116	0.5447093453
117	0.5445862557
118	0.544456998
119	0.5443439463
120	0.5442214673
121	0.5441139417
122	0.5439970391
123	0.5439025904
124	0.5437988872
125	0.5436853208
126	0.5435912581
127	0.5434843215
128	0.5433940375
129	0.5432961311
130	0.5431967038
131	0.5430977481
132	0.5429974972
133	0.5429228249
134	0.5428223901
135	0.5427345773
136	0.5426391765
137	0.5425548258
138	0.5424760997
139	0.5423969532
140	0.5423344355
141	0.5422605667
142	0.5421765254
143	0.5420799378
144	0.5420188741
